Open,Close,High,Low,Volume,Date
3291.48,3268.75,3291.48,3267.545,,06/07/19
3267.995,3273.995,3273.995,3267.995,,06/08/19
3273.995,3273.995,3273.995,3273.995,,06/09/19
3268.75,3259.31,3268.75,3251.91,,06/10/19
3259.31,3258.43,3260.15,3242.93,,06/11/19
3258.43,3268.13,3270,3255,,06/12/19
3268.13,3268.81,3270.47,3263.435,,06/13/19
3268.81,3273.25,3276.65,3267.78,,06/14/19
3270.995,3269.995,3270.995,3269.995,,06/15/19
3269.995,3269.995,3269.995,3269.995,,06/16/19
3273.25,3284.75,3289.315,3271.6,,06/17/19
3284.75,3255.1,3286,3254.26,,06/18/19
3255.1,3241,3255.5,3240.085,,06/19/19
3241,3192.55,3241,3192.55,,06/20/19
3192.55,3203.5,3203.5,3182.655,,06/21/19
3202.735,3202.735,3202.735,3202.735,,06/22/19
3202.735,3202.735,3202.735,3202.735,,06/23/19
3203.5,3202.06,3203.5,3192.75,,06/24/19
3202.06,3189.535,3203.5,3182.29,,06/25/19
3189.535,3185.73,3190.65,3171.69,,06/26/19
3185.73,3197.65,3198.595,3185.5,,06/27/19
3197.65,3212.75,3213.5,3197.43,,06/28/19
3212.795,3212.795,3212.795,3212.795,,06/29/19
3212.795,3212.795,3212.795,3212.795,,06/30/19
3212.75,3206.055,3213,3206.055,,07/01/19
3206.055,3209.86,3218.04,3198.5,,07/02/19
3209.86,3197.48,3213,3197,,07/03/19
3197.48,3194.25,3197.48,3194.25,,07/04/19
3194.25,3212.18,3222.175,3194,,07/05/19
3222.205,3209.735,3222.205,3209.735,,07/06/19
3209.735,3209.735,3209.735,3209.735,,07/07/19
3212.18,3217.425,3218,3199.97,,07/08/19
3217.425,3217.22,3227,3217.015,,07/09/19
3217.22,3205.06,3218.4,3205.06,,07/10/19
3205.06,3199.35,3206.5,3192.285,,07/11/19
3199.35,3192.75,3199.35,3188.46,,07/12/19
3192.595,3192.595,3192.595,3192.595,,07/13/19
3192.595,3192.595,3192.595,3192.595,,07/14/19
3192.75,3190.9,3193.99,3185.37,,07/15/19
3190.9,3200.5,3202.71,3189.9,,07/16/19
3200.5,3184.415,3201,3184.415,,07/17/19
3184.415,3175.5,3188.85,3175.5,,07/18/19
3175.5,3174.58,3177,3165.195,,07/19/19
3174.505,3174.505,3174.505,3174.505,,07/20/19
3174.505,3174.505,3174.505,3174.505,,07/21/19
3174.58,3178.5,3178.9,3174.13,,07/22/19
3178.5,3189,3190.47,3178,,07/23/19
3189,3199.5,3205.31,3181.13,,07/24/19
3199.5,3217.4,3217.71,3199.5,,07/25/19
3217.4,3239.3,3240.12,3217.4,,07/26/19
3238.275,3238.275,3238.275,3238.275,,07/27/19
3238.275,3238.275,3238.275,3238.275,,07/28/19
3239.3,3283.625,3285.1,3229,,07/29/19
3283.625,3299.85,3302.38,3283.625,,07/30/19
3299.85,3280.93,3301.5,3280.93,,07/31/19
3280.93,3340.95,3340.95,3280.5,,08/01/19
3340.95,3384.5,3385.65,3340.5,,08/02/19
3373.205,3373.205,3373.205,3373.205,,08/03/19
3373.205,3373.205,3373.205,3373.205,,08/04/19
3384.5,3456.5,3477.645,3384.5,,08/05/19
3456.5,3428,3456.5,3417.935,,08/06/19
3428,3428,3428.24,3428,,08/07/19
3428,3368.83,3428,3368.83,,08/08/19
3368.83,3395.5,3397,3368.5,,08/09/19
3398.165,3398.165,3398.165,3398.165,,08/10/19
3398.165,3398.165,3398.165,3398.165,,08/11/19
3395.5,3427.03,3448.545,3395.5,,08/12/19
3427.03,3412.3,3427.5,3386.555,,08/13/19
3412.3,3458.68,3459.035,3412.3,,08/14/19
3458.68,3471.8,3471.8,3436.62,,08/15/19
3471.8,3435.88,3471.8,3429.47,,08/16/19
3441.505,3441.505,3441.505,3441.505,,08/17/19
3441.505,3441.505,3441.505,3441.505,,08/18/19
3435.88,3429,3435.88,3429,,08/19/19
3429,3408.23,3446.2,3408.23,,08/20/19
3408.23,3377.73,3408.23,3376.23,,08/21/19
3377.73,3390.48,3390.48,3373.875,,08/22/19
3390.48,3424.49,3424.49,3389.675,,08/23/19
3441.505,3441.505,3441.505,3441.505,,08/24/19
3441.505,3441.505,3441.505,3441.505,,08/25/19
3424.49,3434,3443.78,3421.13,,08/26/19
3434,3469.98,3477.67,3429.8,,08/27/19
3469.98,3477,3479.575,3469.98,,08/28/19
3477,3439,3479.76,3439,,08/29/19
3439,3442,3442.65,3414.65,,08/30/19
3441.995,3441.995,3441.995,3441.995,,08/31/19
3441.995,3441.995,3441.995,3441.995,,09/01/19
3442,3442.65,3455.88,3442,,09/02/19
3442.65,3443.23,3446.5,3428.18,,09/03/19
3443.23,3395.7,3443.5,3389.64,,09/04/19
3395.7,3378,3395.7,3376.1,,09/05/19
3378,3354.75,3378,3354.75,,09/06/19
3356.165,3346.995,3356.165,3346.995,,09/07/19
3346.995,3346.995,3346.995,3346.995,,09/08/19
3354.75,3371.95,3374.51,3351.905,,09/09/19
3371.95,3362.53,3386.37,3361.56,,09/10/19
3362.53,3376.1,3381.53,3361.64,,09/11/19
3376.1,3365.5,3376.5,3355.59,,09/12/19
3365.5,3363.95,3365.5,3352.105,,09/13/19
3357.595,3357.595,3357.595,3357.595,,09/14/19
3357.595,3357.595,3357.595,3357.595,,09/15/19
3363.95,3364.5,3370.08,3362.2,,09/16/19
3364.5,3385.1,3385.185,3364.48,,09/17/19
3385.1,3375.5,3385.1,3374.165,,09/18/19
3375.5,3384.5,3385.22,3372.31,,09/19/19
3384.5,3417.9,3417.9,3384.5,,09/20/19
3388.295,3388.295,3388.295,3388.295,,09/21/19
3388.295,3388.295,3388.295,3388.295,,09/22/19
3417.9,3430.75,3441.82,3417.9,,09/23/19
3430.75,3434,3441.37,3430.75,,09/24/19
3434,3432,3454.405,3432,,09/25/19
3432,3447,3448.26,3426.475,,09/26/19
3447,3459.8,3470.72,3446.5,,09/27/19
3462.395,3462.395,3462.395,3462.395,,09/28/19
3462.395,3446.395,3462.395,3446.395,,09/29/19
3459.8,3480,3488.665,3458.8,,09/30/19
3480,3495.5,3497.075,3480,,10/01/19
3495.5,3496,3498.99,3495.5,,10/02/19
3496,3447,3496,3447,,10/03/19
